x_over_h,cf_dns_exactmatch
2.167968750000000000e+00,-3.893542286241008163e-03
2.179687500000000000e+00,-3.935284702892655369e-03
2.191406250000000000e+00,-3.980706281957761480e-03
2.203125000000000000e+00,-4.017662897131610289e-03
2.214843750000000000e+00,-4.059139699556885313e-03
2.226562500000000000e+00,-4.091607745988673321e-03
2.238281250000000000e+00,-4.128606209099858031e-03
2.250000000000000000e+00,-4.157913724717945438e-03
2.261718750000000000e+00,-4.192951552204048429e-03
2.273437500000000000e+00,-4.221404493423506696e-03
2.285156250000000000e+00,-4.255986583127302318e-03
2.296875000000000000e+00,-4.283186645698127369e-03
2.308593750000000000e+00,-4.314174115361805659e-03
2.320312500000000000e+00,-4.336742256312957171e-03
2.332031250000000000e+00,-4.363757963509362799e-03
2.343750000000000000e+00,-4.384258214250421476e-03
2.355468750000000000e+00,-4.410746549823874908e-03
2.367187500000000000e+00,-4.430387311084733534e-03
2.378906250000000000e+00,-4.454243776518563951e-03
2.390625000000000000e+00,-4.470568686963540157e-03
2.402343750000000000e+00,-4.490956742001534809e-03
2.414062500000000000e+00,-4.504064754132716675e-03
2.425781250000000000e+00,-4.521555034806052156e-03
2.437500000000000000e+00,-4.532900390832293042e-03
2.449218750000000000e+00,-4.549353802922846170e-03
2.460937500000000000e+00,-4.559532279367204538e-03
2.472656250000000000e+00,-4.574825080579064500e-03
2.484375000000000000e+00,-4.584311169220548800e-03
2.496093750000000000e+00,-4.597745750595157513e-03
2.507812500000000000e+00,-4.604157811314167972e-03
2.519531250000000000e+00,-4.614638116029460245e-03
2.531250000000000000e+00,-4.619112472755701644e-03
2.542968750000000000e+00,-4.627435562179944145e-03
2.554687500000000000e+00,-4.627226114252647182e-03
2.566406250000000000e+00,-4.628507919780538646e-03
2.578125000000000000e+00,-4.622287922049984205e-03
2.589843750000000000e+00,-4.618957650496992133e-03
2.601562500000000000e+00,-4.608329295021479019e-03
2.613281250000000000e+00,-4.601409526680791742e-03
2.625000000000000000e+00,-4.590604484618920379e-03
2.636718750000000000e+00,-4.586401242502398737e-03
2.648437500000000000e+00,-4.578000868327104268e-03
